wavelength_nm,frequency_normalized,reflection,transmission,residual
455.0,1.3912087912087912,0.026446463546820603,0.973553533640439,2.8127404849698223e-09
456.0,1.388157894736842,0.024433461585106016,0.9755665356041849,2.8107089988793632e-09
457.0,1.3851203501094091,0.02261511883309898,0.9773848783551572,2.8117438377606163e-09
458.0,1.3820960698689955,0.020849658295547108,0.9791503388896942,2.8147587594062884e-09
459.0,1.3790849673202614,0.019082301514057265,0.9809176956666101,2.8193325452008366e-09
460.0,1.376086956521739,0.017288620726892495,0.9827113764478885,2.8252189476773992e-09
461.0,1.3731019522776573,0.015462731412018094,0.9845372657557514,2.832230450167117e-09
462.0,1.37012987012987,0.01361385535708409,0.9863861418027098,2.8402061813537216e-09
463.0,1.367170626349892,0.011765097247952595,0.9882348999030958,2.848951630163299e-09
464.0,1.3642241379310345,0.009952647590776091,0.9900473495509512,2.8582727296111443e-09
465.0,1.361290322580645,0.008224663423039102,0.9917753337090414,2.8679195684944148e-09
466.0,1.3583690987124464,0.006639422422576192,0.993360574699806,2.8776178107037254e-09
467.0,1.3554603854389722,0.005262522379739561,0.9947374747331874,2.8870730250929455e-09
468.0,1.3525641025641026,0.004163048901913007,0.9958369482021486,2.8959383779891823e-09
469.0,1.349680170575693,0.003408801538615754,0.9965911955575221,2.9038621507382345e-09
470.0,1.3468085106382977,0.0030608541619992335,0.9969391429275006,2.9105001742024683e-09
471.0,1.3439490445859872,0.003167907241371318,0.9968320898430949,2.9155338143738163e-09
472.0,1.341101694915254,0.0037610299554795175,0.9962389671258792,2.9186412175974397e-09
473.0,1.3382663847780127,0.004849446948471269,0.9951505501318821,2.91964663556854e-09
474.0,1.3354430379746836,0.006417966542455716,0.9935820305392244,2.9183198080318107e-09
475.0,1.3326315789473684,0.00842646802011837,0.9915735290652604,2.9146212110475744e-09
476.0,1.3298319327731092,0.010811591779565394,0.9891884053118606,2.908574048277046e-09
477.0,1.3270440251572326,0.013490463471743616,0.9865095336280106,2.9002457102578205e-09
478.0,1.3242677824267781,0.01636600082430386,0.9836339962858475,2.889848693676811e-09
479.0,1.3215031315240084,0.01933316055063191,0.9806668365718052,2.8775628546640064e-09
480.0,1.3187499999999999,0.022285416342055293,0.9777145807942491,2.863695613974926e-09
481.0,1.316008316008316,0.025120816343194755,0.9748791808082622,2.848543068090237e-09
482.0,1.3132780082987552,0.027747118764623116,0.9722528784029514,2.8324255163525436e-09
483.0,1.31055900621118,0.03008570066646964,0.9699142965179284,2.815601973793491e-09
484.0,1.3078512396694213,0.0320741310365666,0.9679258661650704,2.798362985778624e-09
485.0,1.3051546391752578,0.03366746087266447,0.9663325363463567,2.780978780592136e-09
486.0,1.3024691358024691,0.034838392926842626,0.9651616043095506,2.7636067878589188e-09
487.0,1.299794661190965,0.03557655059314763,0.9644234466603869,2.7464654994702187e-09
488.0,1.2971311475409835,0.035887078210355736,0.9641129190600002,2.729644066334913e-09
489.0,1.294478527607362,0.03578878766172146,0.9642112096249912,2.7132873725577156e-09
490.0,1.2918367346938775,0.03531203252673753,0.9646879647758241,2.697438383769679e-09
491.0,1.2892057026476578,0.034496452447853876,0.9655035448699933,2.6821527221443375e-09
